Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.564402,7.051985,Ruwanpura,,2020-04-29,6:00,2020-04-29,9:00,Husband cutting the genitals of his boy when he tried to stop a fight between the husband and wife,Assault
80.615696,7.353901,Ambatenna,,2020-05-01,13:45,,,"Breaking into a house and stealing property worth 63,500",Burglary
80.600787,7.303278,Pallegama,Yatihalagala,2020-03-08,20:30,2020-03-14,15:30,"Stealing property worth 675,000 from the bedroom",Burglary
80.628027,7.320642,Wattaranthenna,,2020-05-12,13:05,,,Cutting with a knife,Assault
80.602024,7.324071,Wathuwala,,2020-05-11,15:00,2020-05-11,21:00,Breaking into a house and stealing property,Burglary
80.624283,7.323781,Katugastota,,2020-05-12,,,,"Stealing the water motor fixed to St. Anthony's Boys' College well, worth 35,000",Theft
80.617118,7.323072,Yatiwawala,,2020-05-14,17:40,,,Cutting with a knife,Assault
80.585494,7.328943,Mapamadulla,,2020-05-15,23:00,2020-05-16,6:15,"Breaking into a house and stealing nutmeg worth 20,000",Burglary
80.62368,7.321494,Katugastota,Arena film hall,2020-05-15,17:00,,,"Possession of heroin weighing 7,409 mg",Drug
80.624283,7.323781,Katugastota,,2020-05-16,13:35,,,"Possession of heroin weighing 2,050 mg",Drug
80.646653,7.325929,Polgolla,,2020-05-19,0:00,2020-05-19,5:40,"Breaking into a house and stealing nutmeg worth 237,000",Burglary
80.625742,7.325952,Katugastota,Police Station,2020-05-16,23:00,2020-05-20,15:00,"Stealing a three-wheeler worth 600,000",Theft
80.585494,7.328943,Thiththapajjala,,2020-05-20,5:45,2020-05-21,5:15,"Breaking into a house and stealing property worth 34,800",Burglary
80.585467,7.345114,Rajapihilla,,2020-05-23,10:50,,,Beating with a club and cutting with a knife,Assault
80.585467,7.345114,Ulladupitiya,,2020-05-23,12:00,2020-05-23,14:10,"Breaking into a Pattini Devalaya and stealing nutmeg worth 11,750",Burglary
80.615696,7.353901,Ambatenna,,2020-05-23,15:00,2020-05-24,7:45,"Breaking into a house and stealing property worth 66,000",Burglary
80.602024,7.324071,Ambulpuraya,,2020-05-27,1:30,,,Assualt to the head with a knife,Assault
80.60994,7.334379,Uduwawala,,2020-05-27,19:30,2020-05-28,7:30,"Breaking into a house and stealing Raththi milk powder worth 11,340",Burglary
80.600787,7.303278,Halloluwa,,2020-04-27,10:00,,,Sexualt assualt  of a 14 year old boy,Rape
80.600787,7.303278,Mahathenna,,2020-05-28,21:10,,,Cutting with a sword,Assault
80.564739,7.335182,Hedeniya,,2020-06-01,8:00,2020-06-01,17:15,"Stealing vehicle parts worth 41,000 from a container",Theft
80.602024,7.324071,Wathuwala,,2020-06-02,20:00,,,Beating up and breaking two teeth,Assault
80.617118,7.323072,Yatiwawala,,2020-06-06,9:30,2020-06-07,9:30,"Breaking into a house and stealing property worth 2,000",Burglary
80.60994,7.334379,Ranawana,,2020-03-15,18:30,,,Inflicting injury with a roof tile,Assault
80.622308,7.341378,Molagodayawatta,,2020-04-24,19:00,,,Beating up with a club,Assault
80.615696,7.353901,Ambatenna,,2020-06-08,18:10,2020-06-09,7:30,"Breaking into a house and stealing property worth 24,980",Burglary
80.564739,7.335182,Rajasinhagama,,2020-06-09,8:30,2020-06-10,6:00,"Breaking into a house and stealing property worth 25,600",Burglary
80.612965,7.304321,Hamangoda,,2020-06-12,10:00,2020-06-12,13:30,"Breaking into a house and stealing 44,000",Burglary
80.617118,7.323072,Yatiwawala,,2020-06-12,12:00,,,"Beating up and taking 100,000 by force",Robbery
80.564739,7.335182,Aladeniya,,2020-06-04,,2020-06-09,,"Entering a house and stealing property worth 177,000",Burglary
80.646653,7.325929,Polgolla,,2020-06-12,11:30,2020-06-14,8:00,"Stealing a battery worth 48,000 from a parked lorry",Theft
80.628854,7.328358,Kahalla,,2020-03-09,,2020-05-29,,"Betraying trust and taking $7,220 from a Chinese woman",Fraud
80.564739,7.335182,Kumburegama,Arambekade,2020-06-19,8:45,2020-06-19,14:45,"Breaking into a house and stealing property worth 11,000",Burglary
80.600787,7.303278,Pallegama,Yatihalagala,2020-06-20,20:00,2020-06-21,5:00,"Breaking into a house and stealing property worth 45,000, including dooriyan",Burglary
80.564739,7.335182,Aladeniya,,2020-06-20,19:30,,,Stabbing with a knife,Assault
80.564739,7.335182,Hedeniya,,2020-06-21,21:45,2020-06-22,6:30,"Breaking into a house and stealing property worth 9,980",Burglary
80.628854,7.328358,Kahalla,,2020-06-22,7:00,2020-06-22,17:45,"Breaking into a house and stealing property worth 30,000",Burglary
80.615696,7.353901,Ambatenna,,2020-06-29,2:30,2020-06-29,6:00,"Breaking into a house and stealing property worth 12,240",Burglary
80.602024,7.324071,Wathuwala,,2020-06-29,8:30,2020-06-29,20:30,"Breaking into a house and stealing 8,500 and 8,000 worth of nutmeg",Burglary
80.600787,7.303278,Yatihalagala,,2020-06-25,17:00,,,Cutting with a knife,Assault
80.62368,7.321494,Katugastota,Pan Asia Bank,2020-07-03,13:30,,,"Stealing 130,000 from a pawning shop while pawning",Theft
80.60994,7.334379,Ranawana,,2020-07-05,23:40,,,Cutting with a paper cutter,Assault
80.622308,7.341378,Megodagama,,2020-07-10,10:00,2020-07-10,12:30,"Breaking into a house and stealing property worth 8,000",Burglary
80.60994,7.334379,Ranawana,,2020-02-29,,2020-07-14,,"Stealing underground cables worth 50,000 laid by SLT",Theft
